NOME,VALORE
NOME_UTENTE,Vittoria 
TAVOLO,11
COPERTI,2
TRIPPA,3
CASONCELLI BERGAMA,4
RAVIOLI SPECK,5
GALLINA RIP. E POL,6
GALLINA INTERA,7
SPALLA CON POLENTA,8
SPALLA CON PANE,9
PORCHETTA E POLENT,1
PORCHETTA CON PANE,2
CAPU CON POLENTA,3
CAPU CON PANE,4
STRINU CON POLENTA,5
STRINU NEL PANE,6
FORMAGGIO E POLENT,7
FORMAGGIO CON PANE,8
PATATINE,9
VINO CALICE,1
VINO BOTTIGLIA,2
BIRRA ALLA SPINA,3
ACQUA FRIZANTE 0.5,4
ACQUA NATURALE 0.5,5
ACQUA NATURALE 1.5,6
ACQUA FRIZZANT 1.5,7
BIBITE LATTINA,8
DOLCE,9
GRAPPE  AMARI ECC.,1
