NOME,VALORE
NOME_UTENTE,ANNALISA 
TAVOLO,96
COPERTI,3
TRIPPA,1
CASONCELLI BERGAMA,2
RAVIOLI SPECK,3
GALLINA RIP. E POL,4
GALLINA INTERA,5
SPALLA CON POLENTA,6
SPALLA CON PANE,7
PORCHETTA E POLENT,8
PORCHETTA CON PANE,9
CAPU CON POLENTA,1
CAPU CON PANE,2
STRINU CON POLENTA,3
STRINU NEL PANE,4
FORMAGGIO E POLENT,5
FORMAGGIO CON PANE,6
PATATINE,7
VINO CALICE,8
VINO BOTTIGLIA,9
BIRRA ALLA SPINA,1
ACQUA FRIZANTE 0.5,2
ACQUA NATURALE 0.5,3
ACQUA NATURALE 1.5,4
ACQUA FRIZZANT 1.5,5
BIBITE LATTINA,6
DOLCE,7
GRAPPE  AMARI ECC.,8
